Table 1
ID,GROUP,Q1F_HU_AV,Q2F_HU_AV,Q3C_HU_AV,Q4E_HU_AV,Q5F_HU_AV,Q6E_HU_AV,Q7C_HU_AV,Q8C_HU_AV,Q9C_HU_AV,Q10E_HU_AV,Q1F_AI_AV,Q2F_AI_AV,Q3C_AI_AV,Q4E_AI_AV,Q5F_AI_AV,Q6E_AI_AV,Q7C_AI_AV,Q8C_AI_AV,Q9C_AI_AV,Q10E_AI_AV
1,1,2.5,2.5,3,3.5,2.5,2,3.5,3.5,3,2,3.5,3,4,3.5,3,2,4,3.5,4,3
2,1,4.5,4.5,5,4,4.5,4,4.5,3,5,3,5,2,3.5,2,2.5,1,2,3,2.5,1
3,1,4,3.5,4,4,4.5,3,4.5,3.5,4.5,3,3.5,2.5,2.5,4,4,1.5,3,2.5,4,2
4,1,4,3.5,4,3,3,2.5,4,3.5,3.5,2,4.5,4.5,5,4.5,4.5,4,4.5,4.5,4.5,3.5
5,1,4,4.5,3.5,3,3.5,4.5,3.5,3.5,4,3,4,4,4,2.5,4.5,4,4.5,4,4.5,3
6,2,3.5,3.5,4,3.5,3.5,3.5,4,2.5,3.5,2,4,4,4,3.5,4,4,4,4.5,4.5,3
7,2,4,4,5,4,3.5,4.5,4.5,4.5,4,3,4,3,4.5,3,4,4,4,4.5,3.5,3
8,2,5,4.5,5,4.5,5,3,5,4.5,5,3.5,5,4.5,5,5,5,3,3,3.5,4.5,3
9,2,4.5,4,4,4.5,4,3.5,5,3.5,4,3.5,5,4.5,5,4.5,5,3.5,5,5,5,3
10,2,3,3.5,3,3.5,4,3.5,2.5,2.5,3,3,4,4,4,3.5,4,3.5,4,4,4,3
